junction_id,timestamp,day_of_week,time_of_day,traffic_volume,avg_speed,congestion_level,accident_count_recent,violation_count,illegal_parking_count,obstruction_count,weather,roadwork_flag,event_flag,police_coverage,risk_score
j001,2026-08-10 00:00:00,0,0,5,78.8,5.6,0,0,0,0,clear,0,0,0,0.0
j002,2026-08-10 00:00:00,0,0,13,66.8,14.7,0,0,1,0,clear,0,0,0,1.7
j003,2026-08-10 00:00:00,0,0,28,61.2,26.7,0,2,3,0,clear,0,0,1,8.9
j004,2026-08-10 00:00:00,0,0,40,48.4,36.1,0,1,6,0,clear,0,0,0,19.2
j005,2026-08-10 00:00:00,0,0,46,47.2,47.6,0,1,0,0,clear,0,1,0,19.7
j006,2026-08-10 00:00:00,0,0,5,72.0,5.5,0,0,0,0,clear,0,0,2,0.0
j007,2026-08-10 00:00:00,0,0,16,69.0,19.0,0,0,0,0,clear,0,0,2,2.4
j008,2026-08-10 00:00:00,0,0,27,55.3,31.4,0,0,0,0,clear,0,0,3,0.0
j009,2026-08-10 00:00:00,0,0,31,65.2,26.3,0,1,1,0,clear,0,0,0,6.7
j010,2026-08-10 00:00:00,0,0,43,45.6,50.6,0,3,3,0,clear,0,0,1,3.8
j011,2026-08-10 00:00:00,0,0,9,80.0,9.1,0,0,0,0,clear,0,0,1,0.0
j012,2026-08-10 00:00:00,0,0,20,77.6,17.2,0,0,0,0,clear,0,0,2,0.0
j013,2026-08-10 00:00:00,0,0,23,62.3,19.7,0,1,3,0,clear,0,0,1,3.1
j014,2026-08-10 00:00:00,0,0,38,51.8,41.0,0,6,4,0,fog,0,1,1,25.0
j015,2026-08-10 00:00:00,0,0,43,50.2,45.6,0,0,2,0,clear,0,0,2,11.4
j016,2026-08-10 00:00:00,0,0,10,69.0,8.8,0,1,3,0,rain,0,0,2,8.8
j017,2026-08-10 00:00:00,0,0,16,69.6,14.0,0,0,2,0,clear,0,0,0,0.0
j018,2026-08-10 00:00:00,0,0,21,69.3,23.0,0,0,5,0,clear,0,0,1,11.4
j001,2026-08-10 01:00:00,0,1,9,72.3,7.5,0,0,0,0,clear,0,0,0,2.3
j002,2026-08-10 01:00:00,0,1,16,65.1,16.1,0,0,0,0,clear,0,0,2,1.4
j003,2026-08-10 01:00:00,0,1,30,67.8,28.8,0,0,0,0,clear,0,0,1,2.0
j004,2026-08-10 01:00:00,0,1,35,47.1,38.0,0,3,2,0,clear,0,0,2,11.7
j005,2026-08-10 01:00:00,0,1,41,45.5,45.3,0,1,3,0,clear,0,0,4,7.6
j006,2026-08-10 01:00:00,0,1,7,80.0,7.2,0,0,1,0,rain,0,0,0,1.3
j007,2026-08-10 01:00:00,0,1,19,61.4,15.5,0,0,1,0,clear,0,0,1,7.1
j008,2026-08-10 01:00:00,0,1,22,58.6,24.7,0,2,2,0,rain,0,0,1,8.2
j009,2026-08-10 01:00:00,0,1,40,39.3,40.5,0,0,0,0,clear,0,0,1,6.8
j010,2026-08-10 01:00:00,0,1,41,40.8,43.2,0,4,1,0,clear,0,0,0,12.2
j011,2026-08-10 01:00:00,0,1,5,72.0,5.5,0,0,0,0,clear,0,0,2,0.0
j012,2026-08-10 01:00:00,0,1,17,70.3,15.2,0,1,1,0,clear,0,0,1,6.3
j013,2026-08-10 01:00:00,0,1,27,65.6,22.9,0,2,2,0,clear,0,0,3,0.0
j014,2026-08-10 01:00:00,0,1,38,47.8,41.0,1,4,1,0,clear,0,0,0,14.1
j015,2026-08-10 01:00:00,0,1,46,32.1,54.7,0,3,6,0,clear,0,0,0,21.7
j016,2026-08-10 01:00:00,0,1,6,80.0,6.6,0,0,0,0,clear,0,0,2,0.0
j017,2026-08-10 01:00:00,0,1,14,67.6,15.5,0,2,2,0,clear,0,0,2,0.0
j018,2026-08-10 01:00:00,0,1,26,66.9,21.7,0,2,5,0,clear,0,0,2,11.0
j001,2026-08-10 02:00:00,0,2,5,75.9,5.7,0,0,1,0,clear,0,0,0,6.1
j002,2026-08-10 02:00:00,0,2,14,77.9,14.5,0,1,3,0,clear,0,0,0,2.3
j003,2026-08-10 02:00:00,0,2,25,58.0,21.2,0,2,2,0,rain,0,0,2,6.2
j004,2026-08-10 02:00:00,0,2,33,49.5,32.8,0,1,3,0,clear,0,0,0,17.8
j005,2026-08-10 02:00:00,0,2,42,49.1,46.0,0,0,2,0,clear,0,0,2,0.4
j006,2026-08-10 02:00:00,0,2,5,74.7,4.9,0,0,0,0,fog,0,0,0,2.9
j007,2026-08-10 02:00:00,0,2,15,76.0,14.2,0,1,1,0,clear,0,0,2,0.0
j008,2026-08-10 02:00:00,0,2,25,66.7,22.6,0,2,1,0,clear,0,0,0,2.9
j009,2026-08-10 02:00:00,0,2,31,56.0,34.3,0,1,2,0,clear,0,0,0,6.3
j010,2026-08-10 02:00:00,0,2,42,43.9,46.4,0,4,3,0,clear,0,0,1,25.8
j011,2026-08-10 02:00:00,0,2,8,77.9,6.9,0,0,1,0,clear,0,0,0,7.6
j012,2026-08-10 02:00:00,0,2,14,61.1,13.7,0,1,0,0,clear,0,0,1,6.1
j013,2026-08-10 02:00:00,0,2,30,59.6,30.4,0,1,1,0,clear,0,0,1,7.3
j014,2026-08-10 02:00:00,0,2,37,54.8,36.4,0,2,0,0,clear,0,0,2,17.1
j015,2026-08-10 02:00:00,0,2,45,53.0,43.2,0,3,6,0,clear,0,0,3,7.8
